Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.33271372377977954
75% Corpus,2,0.01,0.31,0.3379484476686997
75% Corpus,2,0.01,0.61,0.3430364679649442
75% Corpus,2,0.01,0.9099999999999999,0.3445686546576968
75% Corpus,2,0.01,symmetric,0.3334100994645366
75% Corpus,2,0.31,0.01,0.3387251942560388
75% Corpus,2,0.31,0.31,0.33652891495906323
75% Corpus,2,0.31,0.61,0.3422899020869631
75% Corpus,2,0.31,0.9099999999999999,0.3258330441911034
75% Corpus,2,0.31,symmetric,0.3421623573957825
75% Corpus,2,0.61,0.01,0.3431129998336953
75% Corpus,2,0.61,0.31,0.33538763142059913
75% Corpus,2,0.61,0.61,0.3369726563400546
75% Corpus,2,0.61,0.9099999999999999,0.33378316962147114
75% Corpus,2,0.61,symmetric,0.3411642591730423
75% Corpus,2,0.9099999999999999,0.01,0.34078820931328885
75% Corpus,2,0.9099999999999999,0.31,0.3396608558009155
75% Corpus,2,0.9099999999999999,0.61,0.33610784881139566
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.33437257443582286
75% Corpus,2,0.9099999999999999,symmetric,0.3421822245891934
75% Corpus,2,symmetric,0.01,0.3348687428670035
75% Corpus,2,symmetric,0.31,0.3357695421881649
75% Corpus,2,symmetric,0.61,0.34433752949507085
75% Corpus,2,symmetric,0.9099999999999999,0.34099606013874845
75% Corpus,2,symmetric,symmetric,0.3350263640254247
75% Corpus,2,asymmetric,0.01,0.3288541061461907
75% Corpus,2,asymmetric,0.31,0.334866931296839
75% Corpus,2,asymmetric,0.61,0.3374193190738234
75% Corpus,2,asymmetric,0.9099999999999999,0.32313119980423555
75% Corpus,2,asymmetric,symmetric,0.33566988970074185
75% Corpus,3,0.01,0.01,0.3356198620430915
75% Corpus,3,0.01,0.31,0.3368853315899695
75% Corpus,3,0.01,0.61,0.34688025204729217
75% Corpus,3,0.01,0.9099999999999999,0.34618621481451417
75% Corpus,3,0.01,symmetric,0.3344307004312399
75% Corpus,3,0.31,0.01,0.33890012703065864
75% Corpus,3,0.31,0.31,0.33922596078710204
75% Corpus,3,0.31,0.61,0.34064765070467273
75% Corpus,3,0.31,0.9099999999999999,0.32891454922691865
75% Corpus,3,0.31,symmetric,0.3387251942560388
75% Corpus,3,0.61,0.01,0.3473984993051799
75% Corpus,3,0.61,0.31,0.34339055921712003
75% Corpus,3,0.61,0.61,0.34351554372649734
75% Corpus,3,0.61,0.9099999999999999,0.3396644156239951
75% Corpus,3,0.61,symmetric,0.3392177373390667
75% Corpus,3,0.9099999999999999,0.01,0.34073001142963966
75% Corpus,3,0.9099999999999999,0.31,0.3402924771112603
75% Corpus,3,0.9099999999999999,0.61,0.33628743930808724
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3383563979426703
75% Corpus,3,0.9099999999999999,symmetric,0.3421210611471716
75% Corpus,3,symmetric,0.01,0.3353351266301789
75% Corpus,3,symmetric,0.31,0.3398676700213199
75% Corpus,3,symmetric,0.61,0.3452865837858465
75% Corpus,3,symmetric,0.9099999999999999,0.32162145343461396
75% Corpus,3,symmetric,symmetric,0.3353351266301789
75% Corpus,3,asymmetric,0.01,0.32774745980896375
75% Corpus,3,asymmetric,0.31,0.33401621633195894
75% Corpus,3,asymmetric,0.61,0.3359702177631189
75% Corpus,3,asymmetric,0.9099999999999999,0.3304292029869408
75% Corpus,3,asymmetric,symmetric,0.33566988970074185
75% Corpus,4,0.01,0.01,0.33443070043123985
75% Corpus,4,0.01,0.31,0.3349355750456026
75% Corpus,4,0.01,0.61,0.34394289317115234
75% Corpus,4,0.01,0.9099999999999999,0.3170488329030073
75% Corpus,4,0.01,symmetric,0.33271372377977954
75% Corpus,4,0.31,0.01,0.3379931716330685
75% Corpus,4,0.31,0.31,0.3329995276911621
75% Corpus,4,0.31,0.61,0.33622704370219125
75% Corpus,4,0.31,0.9099999999999999,0.32148973945704884
75% Corpus,4,0.31,symmetric,0.3400451194418839
75% Corpus,4,0.61,0.01,0.34266822643837713
75% Corpus,4,0.61,0.31,0.3407839399584059
75% Corpus,4,0.61,0.61,0.3353961906861271
75% Corpus,4,0.61,0.9099999999999999,0.3396644156239951
75% Corpus,4,0.61,symmetric,0.33777684878606096
75% Corpus,4,0.9099999999999999,0.01,0.34290921535312235
75% Corpus,4,0.9099999999999999,0.31,0.3395826040099429
75% Corpus,4,0.9099999999999999,0.61,0.3406248355696574
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.33262296322139323
75% Corpus,4,0.9099999999999999,symmetric,0.3400412284664209
75% Corpus,4,symmetric,0.01,0.3312243423693674
75% Corpus,4,symmetric,0.31,0.3370894673740101
75% Corpus,4,symmetric,0.61,0.34215399379492883
75% Corpus,4,symmetric,0.9099999999999999,0.33906813662757584
75% Corpus,4,symmetric,symmetric,0.3402169874226948
75% Corpus,4,asymmetric,0.01,0.3357062260669746
75% Corpus,4,asymmetric,0.31,0.33469782069125914
75% Corpus,4,asymmetric,0.61,0.3373927431753665
75% Corpus,4,asymmetric,0.9099999999999999,0.3340209759904068
75% Corpus,4,asymmetric,symmetric,0.33777466996574895
75% Corpus,5,0.01,0.01,0.33531672747101204
75% Corpus,5,0.01,0.31,0.33487648221324234
75% Corpus,5,0.01,0.61,0.3371304899884827
75% Corpus,5,0.01,0.9099999999999999,0.3170488329030073
75% Corpus,5,0.01,symmetric,0.3334100994645366
75% Corpus,5,0.31,0.01,0.3400451194418839
75% Corpus,5,0.31,0.31,0.3407659227058112
75% Corpus,5,0.31,0.61,0.34064765070467273
75% Corpus,5,0.31,0.9099999999999999,0.34611269365646696
75% Corpus,5,0.31,symmetric,0.33356729386721673
75% Corpus,5,0.61,0.01,0.34232052547741665
75% Corpus,5,0.61,0.31,0.33734883895308787
75% Corpus,5,0.61,0.61,0.33381729925770476
75% Corpus,5,0.61,0.9099999999999999,0.33063101904834846
75% Corpus,5,0.61,symmetric,0.3398473645486133
75% Corpus,5,0.9099999999999999,0.01,0.3413113412572514
75% Corpus,5,0.9099999999999999,0.31,0.33760922771356466
75% Corpus,5,0.9099999999999999,0.61,0.3406248355696574
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3368374156553898
75% Corpus,5,0.9099999999999999,symmetric,0.3423214399651825
75% Corpus,5,symmetric,0.01,0.3336915392644386
75% Corpus,5,symmetric,0.31,0.33576954218816496
75% Corpus,5,symmetric,0.61,0.3452865837858465
